doc_id,title,doc_type,source,owner,effective_date,version,jurisdiction_region,authority_status,confidentiality,access_group
DOC001,Consumer Financial Protection Circular 2023-03,Policy,https://files.consumerfinance.gov/f/documents/cfpb_adverse_action_notice_circular_2023-09.pdf?utm_source=chatgpt.com,Consumer Financial Protection Bureau,9/19/2023,v1.0,United States,CURRENT,Public,All
DOC002,ECOA 2 12 CFR Part 1002 Equal Credit Opportunity Act,Policy,External,Consumer Financial Protection Bureau,8/31/2026,v1,United States,CURRENT,Public,All
DOC003,OCC_Fair_Lending_Handbook,Policy,https://occ.treas.gov/publications-and-resources/publications/comptrollers-handbook/files/fair-lending/pub-ch-fair-lending.pdf?utm_source=chatgpt.com,Office of the Comptroller of the Currency,1/1/2023,v1,United States,CURRENT,Public,All
DOC004,Qualifying for a Loan,Policy,External,State Employees' Credit Union,9/3/2026,v1,United States,CURRENT,Public,All
DOC005,Regulation_Z_1026-18_Official_Interpretations,Policy,https://www.consumerfinance.gov/rules-policy/regulations/1026/interp-18/?utm_source=chatgpt.com,Consumer Financial Protection Bureau,9/3/2026,v1,United States,CURRENT,Public,All
FIN-COMP-001,fair_lending_review_memo,Guideline,Synthetic Internal,Compliance and Model Risk Management,1/1/2026,v2,United States,CURRENT,Internal,Compliance Risk Internal Audit and Lending Management
FIN-COMP-001,fair_lending_review_memo,Guideline,Synthetic Internal,Compliance and Model Risk Management,1/1/2026,v1,United States,SUPERSEDED,Internal,Compliance Risk Internal Audit and Lending Management
FIN-POL-001,Internal Underwriting Policy,Guideline,Synthetic Internal,Consumer Lending Risk Management,1/1/2024,v1,United States,SUPERSEDED,Internal,Lending Risk Compliance and Audit Teams
FIN-POL-001,Internal Underwriting Policy,Guideline,Synthetic Internal,Consumer Lending Risk Management,1/1/2026,v2,United States,SUPERSEDED,Internal,Lending Risk Compliance and Audit Teams
FIN-POL-001,Internal Underwriting Policy,Guideline,Synthetic Internal,Consumer Lending Risk Management,1/1/2026,v3,United States,CURRENT,Internal,Lending Risk Compliance and Audit Teams
FIN-PROC-001,Personal Loan Approval and Escalation Procedure,Guideline,Synthetic Internal,Consumer Lending Operations,1/1/2026,v2,United States,CURRENT,Internal,Lending Operations Risk Compliance and Audit Teams
FIN-PROC-001,Personal Loan Approval and Escalation Procedure,Guideline,Synthetic Internal,Consumer Lending Operations,1/1/2026,v1,United States,SUPERSEDED,Internal,Lending Operations Risk Compliance and Audit Teams
FIN-RULE-001,Product Eligibility Rules,Guideline,Synthetic Internal,Consumer Lending Risk Management,1/1/2026,v2,United States,CURRENT,Internal,Lending Risk and Compliance
FIN-RULE-001,Product Eligibility Rules,Guideline,Synthetic Internal,Consumer Lending Risk Management,1/1/2026,v1,United States,SUPERSEDED,Internal,Lending Risk and Compliance
